city_name_en,country_name_en,region,city_name,country_name,continent,latitude,longitude
Bangkok,Thailand,Asia/Oceania,กรุงเทพมหานคร,ประเทศไทย,Asia,13.7524938,100.4935089
Beijing,China,Asia/Oceania,Beijing,中国,Asia,40.190632,116.412144
Hanoi,Vietnam,Asia/Oceania,Thành phố Hà Nội,Việt Nam,Asia,21.0283334,105.854041
Hong Kong,China,Asia/Oceania,Hong Kong,中国,Asia,22.350627,114.1849161
Jakarta,Indonesia,Asia/Oceania,Daerah Khusus ibukota Jakarta,Indonesia,Asia,-6.1817,106.8207194
Kabul,Afghanistan,Asia/Oceania,کابل,افغانستان,Asia,34.5266431,69.1849082
Karachi,Pakistan,Asia/Oceania,کراچی ڈویژن,پاکستان,Asia,24.8546842,67.0207055
Kathmandu,Nepal,Asia/Oceania,काठमाडौँ महानगरपालिका,नेपाल,Asia,27.708317,85.3205817
Kyoto,Japan,Asia/Oceania,京都市,日本,Asia,34.9741067,135.7516775
Manila,Philippines,Asia/Oceania,Manila,Pilipinas,Asia,14.5904492,120.9803621
Melbourne,Australia,Asia/Oceania,Melbourne,Australia,Oceania,-37.8142454,144.9631732
Mumbai,India,Asia/Oceania,Mumbai Suburban,India,Asia,19.054999,72.8692035
New Delhi,India,Asia/Oceania,Delhi,India,Asia,28.6430858,77.2192671
Osaka,Japan,Asia/Oceania,大阪市,日本,Asia,34.6937569,135.5014539
Phnom Penh,Cambodia,Asia/Oceania,Phnom Penh,ព្រះរាជាណាចក្រ​កម្ពុជា,Asia,11.549112,104.896529
Pyongyang,North Korea,Asia/Oceania,평양시,조선민주주의인민공화국,Asia,39.0167979,125.7473609
Seoul,South Korea,Asia/Oceania,서울특별시,대한민국,Asia,37.5666791,126.9782914
Shanghai,China,Asia/Oceania,Shanghai,中国,Asia,31.2312707,121.4700152
Singapore,Singapore,Asia/Oceania,Singapore,Singapore,Asia,1.357107,103.8194992
Sydney,Australia,Asia/Oceania,Sydney,Australia,Oceania,-33.8698439,151.2082848
Taipei,Taiwan,Asia/Oceania,臺北市,臺灣,Asia,25.0375198,121.5636796
Tokyo,Japan,Asia/Oceania,Tokyo,日本,Asia,35.6768601,139.7638947
Ulaanbaatar,Mongolia,Asia/Oceania,Улаанбаатар ᠤᠯᠠᠭᠠᠨᠪᠠᠭᠠᠲᠤᠷ,Монгол улс ᠮᠤᠩᠭᠤᠯ ᠤᠯᠤᠰ,Asia,47.9184676,106.9177016
Amsterdam,Netherlands,Europe,Amsterdam,Nederland,Europe,52.3730796,4.8924534
Athens,United States,Europe,Athens,United States,Europe,33.9597677,-83.376398
Barcelona,Spain,Europe,Barcelona,España,Europe,41.3828939,2.1774322
Berlin,Germany,Europe,Berlin,Deutschland,Europe,52.510885,13.3989367
Budapest,Hungary,Europe,Budapest,Magyarország,Europe,47.4978789,19.0402383
Copenhagen,Denmark,Europe,København,Danmark,Europe,55.6867243,12.5700724
