city_name,node1_latlon,node2_latlon,node3_latlon,country,region
Amsterdam,"(52.3921902, 4.9409543)","(52.353146, 4.8700815)","(52.3977158, 4.9518518)",Nederland,Europe
Athens,"(33.9186358, -83.3832292)","(33.9602332, -83.4147352)","(33.9976068, -83.3250978)",United States,Georgia
Atlanta,"(33.7571364, -84.3861017)","(33.7481158, -84.375885)","(33.7424904, -84.2933393)",United States,US/Canada
Baghdad,"(33.3542671, 44.4704224)","(33.4178764, 44.4624129)","(33.3669204, 44.4762946)",Iraq,Baghdad Governorate
Baltimore,"(39.2850932, -76.6003468)","(39.3046039, -76.6133625)","(39.322691, -76.6322015)",United States,US/Canada
Bangkok,"(13.7831019, 100.49997)","(13.7759133, 100.5852514)","(13.9472703, 100.5716725)",ประเทศไทย,Asia/Oceania
Barcelona,"(41.4308308, 2.1570151)","(41.4436003, 2.1620599)","(41.389087, 2.1278867)",España,Europe
Beijing,"(40.0227704, 116.5999657)","(39.9445539, 116.1799541)","(39.9283682, 116.4224652)",中国,Asia/Oceania
Beirut,"(33.897046, 35.4899306)","(33.8705135, 35.499621)","(33.8816385, 35.4960906)",Lebanon,Beirut Governorate
Berlin,"(52.4665318, 13.5849495)","(52.4077513, 13.5483717)","(52.4279788, 13.5132966)",Deutschland,Europe
Bogota,"(4.503666, -74.0921642)","(4.618298, -74.190096)","(4.7436625, -74.0316915)",Colombia,Latin America
Boston,"(42.34006, -71.109248)","(42.3663745, -71.0178131)","(42.306109, -71.104854)",United States,US/Canada
Budapest,"(47.490225, 19.1090935)","(47.4718783, 19.0846781)","(47.4786056, 19.0191178)",Magyarország,Europe
Buenos Aires,"(-34.6282658, -58.4915643)","(-34.5796069, -58.4721495)","(-34.6432164, -58.3757011)",Argentina,Latin America
Cairo,"(30.0825551, 31.2564192)","(29.9820105, 31.6613262)","(29.9750663, 31.3333641)",مصر,Middle East/Africa
Caracas,"(10.4822125, -66.8858046)","(10.4841283, -66.9114049)","(10.4544882, -66.9904524)",Venezuela,Latin America
