route_condition,environment_condition,route_image_path
complex,low,route_images/complex_below_0_2_CharingCross_3042580971615193963.png
complex,low,route_images/complex_below_0_2_Paco_1831524148929014102.png
complex,low,route_images/complex_below_0_2_Sarajevo_6561434370499396883.png
complex,medium,route_images/complex_between_0_4_and_0_5_CapeTown_6963155695334727845.png
complex,medium,route_images/complex_between_0_4_and_0_5_Kohama_237062870078390189.png
complex,medium,route_images/complex_between_0_4_and_0_5_NorthMelbourne_25113530000800273.png
complex,high,route_images/complex_above_0_6_CadillacCenter_6084080404700914171.png
complex,high,route_images/complex_above_0_6_Marutamachi_8885411988969748507.png
complex,high,route_images/complex_FLIPPED_above_0_6_Marutamachi_5055375126692077292.png
simple,low,route_images/simple_below_0_2_CasaPort_1076288300181841477.png
simple,low,route_images/simple_below_0_2_Gambir_3033528170753144951.png
simple,low,route_images/simple_below_0_2_NewOrleans_1349114949413353259.png
simple,medium,route_images/simple_between_0_4_and_0_5_Gamarra_2923742983283805214.png
simple,medium,route_images/simple_between_0_4_and_0_5_PhnomPenh_5233273855664688837.png
simple,medium,route_images/simple_between_0_4_and_0_5_UlanBator_3177302331843300489.png
simple,high,route_images/simple_above_0_6_ChurchStreet_8056623859640426938.png
simple,high,route_images/simple_above_0_6_Sahara_5269643985523575541.png
simple,high,route_images/simple_above_0_6_ZocaloTenochtitlan_3395464917548230745.png
